t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
41404,9.08,0,360,54,loop
41476,10.93,0,360,54,loop
41571,9.08,0,360,54,loop
41683,9.92,0,360,54,loop
41790,17.42,0,585,54,loop
41901,17.97,0,585,55,loop
42024,28.53,0,1455,55,loop
42118,28.65,0,1455,55,loop
42210,23.23,0,1455,55,loop
42320,23.17,0,1455,55,loop
42429,32.91,36,1455,56,loop
42539,37.16,36,1455,56,loop
42645,39.4,36,1815,56,loop
42758,27.65,36,1815,56,loop
42876,27.64,36,1815,56,loop
42990,27.7,36,1815,58,loop
43080,42.9,36,1815,58,loop
43188,50.09,36,1905,58,loop
43298,44.63,36,1905,58,loop
43409,31.34,23,1905,58,loop
43536,45.6,23,1905,59,loop
43642,58.6,23,1905,59,loop
43734,56.75,23,1905,59,loop
43842,43.21,23,1905,59,loop
43953,31.66,23,1905,59,loop
44064,31.59,23,1905,58,loop
44170,50.2,23,1905,58,loop
44275,41.45,23,1905,58,loop
44386,31.82,18,1905,58,loop
44495,31.76,18,1905,58,loop
44622,51.89,18,1905,60,loop
44710,51.89,18,1905,60,loop
44833,55.72,18,1905,60,loop
44924,37.83,18,1905,60,loop
45033,31.9,18,1905,60,loop
45146,32.69,18,1905,59,loop
45253,50.66,18,1905,59,loop
45362,31.81,17,1905,59,loop
45472,31.78,17,1905,59,loop
45580,43.05,17,1275,59,loop
45688,34.36,17,1275,57,loop
45799,22.15,17,1170,57,loop
45906,21.58,17,1170,57,loop
46015,29.2,17,1140,57,loop
46121,32.19,17,1140,57,loop
46232,20.98,17,1080,56,loop
46341,25.23,16,1080,56,loop
46453,29.1,16,1035,56,loop
46597,30.68,16,1455,56,loop
46669,35.46,16,1455,56,loop
46779,25.7,16,1455,56,loop
46887,23.29,16,1455,56,loop
47002,25.41,16,1455,56,loop
47106,36.6,16,1455,56,loop
47231,45.02,16,1860,58,loop
47326,45.02,16,1860,58,loop
47432,29.27,32,1860,58,loop
47558,32.13,32,1860,58,loop
47679,52.97,32,1860,58,loop
47761,53.39,32,1860,60,loop
47871,43.67,32,1905,60,loop
47977,31.63,32,1905,60,loop
48096,31.74,32,1905,60,loop
48194,52.49,32,1905,60,loop
48305,58.6,32,1905,60,loop
48413,40.23,22,1905,60,loop
48523,32.05,22,1905,60,loop
48645,50.97,22,1905,60,loop
48739,50.97,22,1905,60,loop
48864,55.09,22,1890,60,loop
48954,31.58,22,1890,60,loop
49062,31.58,22,1890,60,loop
49188,41.14,22,1890,60,loop
49280,55.38,22,1890,60,loop
49391,59.05,23,1890,61,loop
49501,49.63,23,1890,61,loop
49606,31.86,23,1890,61,loop
49715,31.75,23,1890,61,loop
49845,49.25,23,1890,61,loop
49945,57.21,23,1890,62,loop
50039,58.35,23,1890,62,loop
50147,31.84,23,1890,62,loop
50258,31.77,23,1890,62,loop
50386,53.95,20,1890,62,loop
50490,56.8,20,1890,62,loop
50581,58.24,20,1890,62,loop
50690,36.92,20,1890,62,loop
50802,31.81,20,1890,62,loop
50926,31.71,20,1890,62,loop
51036,54.6,20,1890,60,loop
51128,38.33,20,1890,60,loop
51236,31.73,20,1890,60,loop
51345,33.57,20,1890,60,loop
51469,58.75,19,1890,60,loop
51584,56.5,19,1890,61,loop
51672,33.48,19,1890,61,loop
51780,31.81,19,1890,61,loop
51905,33.14,19,1890,61,loop
