t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
18108,4.13,0,300,48,varied
18222,4.38,0,300,48,varied
18328,4.46,0,300,48,varied
18437,8.64,0,360,48,varied
18550,11.44,0,360,48,varied
18656,12.19,0,1455,48,varied
18769,27.83,0,1455,50,varied
18875,36.03,0,1905,50,varied
18982,42.74,0,1905,50,varied
19093,29.25,0,1905,50,varied
19202,41.14,0,1905,50,varied
19315,54.02,46,1905,52,varied
19419,31.14,46,1905,52,varied
19529,29.65,46,1905,52,varied
19655,33.88,46,1905,52,varied
19764,53.91,46,1905,52,varied
19860,55.63,46,1905,54,varied
19964,56.26,46,1905,54,varied
20072,56.28,46,1905,54,varied
20181,47.24,46,1905,54,varied
20290,30.13,27,1905,54,varied
20421,42.23,27,1905,53,varied
20521,55.74,27,1905,53,varied
20614,53.45,27,1905,53,varied
20723,56.79,27,1905,53,varied
20815,45.21,27,1905,53,varied
20926,30.24,27,1905,53,varied
21036,30.16,27,1905,53,varied
21147,40.62,27,1905,53,varied
21331,56.01,25,1905,53,varied
21376,56.01,25,1905,53,varied
21488,54.11,25,1905,53,varied
21580,33.99,25,1905,53,varied
21690,30.07,25,1905,53,varied
21814,54.47,25,1905,53,varied
21908,52.24,25,1905,53,varied
22051,53.45,25,1905,55,varied
22135,56.11,25,1905,55,varied
22219,54.83,25,1905,55,varied
22325,30.57,30,1905,55,varied
22437,30.33,30,1905,55,varied
22564,33.42,30,1905,55,varied
22652,54.57,30,1905,55,varied
22762,56.65,30,1905,55,varied
22940,57.61,30,1905,55,varied
22980,57.61,30,1905,55,varied
23088,43.4,30,1905,54,varied
23196,30.79,30,1905,54,varied
23320,41.33,21,1905,54,varied
23413,43.63,21,1905,54,varied
23543,53.36,21,1905,56,varied
23631,55.74,21,1905,56,varied
23756,55.29,21,1905,56,varied
23865,54.88,21,1905,56,varied
23959,42.85,21,1905,56,varied
24068,31.1,21,1905,54,varied
24176,31.1,21,1905,54,varied
24297,50.71,27,1905,54,varied
24394,54.6,27,1905,54,varied
24504,57.35,27,1905,54,varied
24610,36.98,27,1905,55,varied
24718,31.06,27,1905,55,varied
24831,54.58,27,1905,55,varied
24935,37.26,27,1905,55,varied
25042,31.09,27,1905,55,varied
25193,32.85,27,1905,56,varied
25267,56.94,20,1905,56,varied
25371,57.91,20,1905,56,varied
25479,57.73,20,1905,56,varied
25604,59.48,20,1905,56,varied
25695,50.45,20,1905,56,varied
25804,31.27,20,1905,56,varied
25913,31.16,20,1905,56,varied
26023,57.8,20,1905,56,varied
26132,57.19,20,1905,56,varied
26241,58.97,20,1905,58,varied
26353,58.65,33,1905,58,varied
26459,37.34,33,1905,58,varied
26569,31.35,33,1905,58,varied
26686,33.19,33,1905,58,varied
26788,56.56,33,1905,57,varied
26896,57.4,33,1905,57,varied
27007,32.68,33,1905,57,varied
27117,31.15,33,1905,57,varied
27222,33.55,33,1905,57,varied
27332,57.08,20,1905,58,varied
27442,57.04,20,1905,58,varied
27547,57.61,20,1905,58,varied
27674,53.71,20,1905,58,varied
27766,31.49,20,1905,58,varied
27874,31.32,20,1905,56,varied
27999,36.6,20,1905,56,varied
28090,55.16,20,1905,56,varied
28202,58.06,20,1905,56,varied
28327,48.19,29,1905,58,varied
28420,58.03,29,1905,58,varied
28526,56.95,29,1905,58,varied
28636,31.41,29,1905,58,varied
28758,34.27,29,1905,58,varied
28854,56.61,29,1905,58,varied
28970,58.33,29,1905,58,varied
29069,58.82,29,1905,58,varied
29193,57.41,29,1905,58,varied
29287,49.97,30,1905,58,varied
29397,31.68,30,1905,56,varied
29506,31.61,30,1905,56,varied
29636,45.16,30,1905,56,varied
29723,57.21,30,1905,56,varied
29831,51.55,30,1905,56,varied
29941,31.61,30,1905,56,varied
30050,41.99,30,1905,56,varied
30173,57.99,30,1905,56,varied
30265,40.12,18,1905,56,varied
30375,31.61,18,1905,56,varied
30488,32.22,18,1905,58,varied
30600,53.21,18,1905,58,varied
30700,53.87,18,1905,58,varied
30825,59,18,1905,58,varied
30918,58.58,18,1905,58,varied
31030,53.85,18,1905,58,varied
31136,41.48,18,1905,58,varied
31247,31.55,18,1905,58,varied
31357,45.46,23,1905,58,varied
31464,58.19,23,1905,58,varied
31574,58.61,23,1905,59,varied
31681,55.74,23,1905,59,varied
31790,58.62,23,1905,59,varied
31900,40.84,23,1905,59,varied
32010,31.85,23,1905,59,varied
32165,52.38,23,1905,59,varied
32226,52.38,23,1905,59,varied
32336,55.5,30,1905,59,varied
32444,58.16,30,1905,59,varied
32568,58.62,30,1905,59,varied
32663,37.33,30,1905,58,varied
32771,31.61,30,1905,58,varied
32897,33.29,30,1905,58,varied
32990,54.09,30,1905,58,varied
33115,55.87,30,1905,60,varied
33266,55.74,30,1905,60,varied
33351,49.5,29,1905,60,varied
33426,49.12,29,1905,60,varied
33533,51.58,29,1905,60,varied
33644,34.77,29,1905,58,varied
33751,31.66,29,1905,58,varied
33877,55.84,29,1905,58,varied
33986,53.55,29,1905,58,varied
34096,58.47,29,1905,60,varied
34238,58.48,29,1905,60,varied
34296,59.84,28,1905,60,varied
34403,32.35,28,1905,60,varied
34513,31.84,28,1905,60,varied
34624,34.76,28,1905,59,varied
34748,55.18,28,1905,59,varied
34839,56.81,28,1905,59,varied
34949,58.73,28,1905,59,varied
