t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
64906,9.24,0,360,54,decoy
65048,9.26,0,300,54,decoy
65149,9.69,0,300,54,decoy
65253,9.06,0,300,54,decoy
65341,7.31,0,300,54,decoy
65459,10.9,0,1455,54,decoy
65544,19.94,0,1455,54,decoy
65653,26.1,0,1455,54,decoy
65761,23.16,0,1455,54,decoy
65872,23.21,20,1455,54,decoy
65984,29.62,20,1455,56,decoy
66093,25.86,20,1455,56,decoy
66187,23.28,20,1455,56,decoy
66293,23.28,20,1455,56,decoy
66405,23.27,20,1455,56,decoy
66535,30.01,20,1455,56,decoy
66620,24.5,20,1455,56,decoy
66727,23.33,20,1455,56,decoy
66840,23.3,6,1455,56,decoy
66947,25.69,6,1455,56,decoy
67058,29.48,6,1455,56,decoy
67166,30.42,6,1455,56,decoy
67274,23.36,6,1080,56,decoy
67384,20.94,6,1080,56,decoy
67492,18.42,6,990,56,decoy
67625,16.73,6,990,55,decoy
67712,21.76,6,1185,55,decoy
67803,21.35,6,1185,55,decoy
67912,21.48,17,1185,55,decoy
68023,21.5,17,1185,55,decoy
68154,25.51,17,1185,56,decoy
68240,29.64,17,1185,56,decoy
68350,29.25,17,1185,56,decoy
68461,23.31,17,1185,56,decoy
68571,21.57,17,1185,56,decoy
68681,21.55,17,1185,56,decoy
68789,21.5,17,1185,56,decoy
68922,28.51,14,1185,56,decoy
69005,22.38,14,1185,56,decoy
69114,21.58,14,1185,56,decoy
69226,21.6,14,1185,56,decoy
69335,21.59,14,1185,56,decoy
69464,23.98,14,690,56,decoy
69567,24.29,14,690,56,decoy
69647,11.78,14,690,56,decoy
69758,10.98,14,645,55,decoy
69888,10.99,8,600,55,decoy
69989,13.49,8,600,55,decoy
70094,18.58,8,1455,55,decoy
70182,23.95,8,1455,55,decoy
70297,32.75,8,1455,57,decoy
70382,32.56,8,1455,57,decoy
70480,32.71,8,1455,57,decoy
70582,32.37,8,1455,57,decoy
70741,33.3,8,1455,57,decoy
70808,32.74,8,1455,57,decoy
70908,32.64,45,1455,57,decoy
71022,29.08,45,1455,57,decoy
71110,23.41,45,1455,57,decoy
71207,23.37,45,1455,56,decoy
71311,23.39,45,1455,56,decoy
71427,23.31,45,1455,56,decoy
71562,31.55,45,1455,56,decoy
71641,23.99,45,1455,56,decoy
71751,23.39,45,1455,56,decoy
71864,23.4,8,1455,56,decoy
71972,23.3,8,855,56,decoy
72077,27.11,8,1110,56,decoy
72187,27.69,8,1110,56,decoy
72296,29.44,8,1185,57,decoy
72404,29.48,8,1185,57,decoy
72510,23.17,8,1185,57,decoy
72621,21.59,8,1185,57,decoy
72732,21.64,8,1185,57,decoy
72843,21.59,8,1185,56,decoy
72952,24.85,25,1185,56,decoy
73057,26.17,25,1185,56,decoy
73154,21.67,25,1185,56,decoy
73260,21.56,25,1185,56,decoy
73370,21.52,25,1185,56,decoy
73479,26.3,25,1185,56,decoy
73613,29.01,25,1185,56,decoy
73697,29.45,25,1185,56,decoy
73805,29.11,25,1185,56,decoy
73914,29.95,25,1185,57,decoy
74022,26.55,25,1185,57,decoy
74129,21.41,25,1125,57,decoy
74241,21.15,25,1125,57,decoy
74347,20.64,25,1035,57,decoy
74465,22.34,25,1035,56,decoy
74568,24.11,25,1005,56,decoy
74661,19.63,25,1005,56,decoy
74773,19.58,25,915,56,decoy
74884,19.55,10,840,56,decoy
75013,20.17,10,840,56,decoy
75103,25.37,10,795,56,decoy
75194,19.5,10,795,56,decoy
75303,19.45,10,735,56,decoy
75414,19.39,10,735,56,decoy
75520,24.28,10,720,56,decoy
75630,19.51,10,720,56,decoy
75741,19.45,10,660,56,decoy
75856,19.37,10,660,56,decoy
75949,19.44,12,600,56,decoy
76089,21.26,12,600,56,decoy
76181,22.74,12,600,56,decoy
76258,9.25,12,600,56,decoy
76368,9.79,12,570,56,decoy
76497,9.14,12,570,56,decoy
76599,12.39,12,525,55,decoy
76690,17.73,12,525,55,decoy
76790,21.42,12,1455,55,decoy
76905,23.07,28,1455,55,decoy
76989,23.27,28,1455,55,decoy
77101,23.34,28,1455,56,decoy
77210,23.4,28,1455,56,decoy
77320,30.56,28,1455,56,decoy
77427,24.92,28,1455,56,decoy
77536,23.31,28,1455,56,decoy
77648,24.27,28,1455,56,decoy
77756,32.13,28,1455,56,decoy
77870,32.82,28,1455,56,decoy
77959,30.73,13,1455,56,decoy
78067,23.35,13,1455,56,decoy
78174,23.29,13,1455,56,decoy
78283,23.24,13,1455,56,decoy
78397,23.27,13,1455,56,decoy
78502,27.52,13,990,56,decoy
78616,24.16,13,990,56,decoy
78729,10.92,13,900,55,decoy
78818,11.1,13,900,55,decoy
78934,10.94,8,855,55,decoy
79019,17.25,8,855,55,decoy
79129,19.22,8,1500,55,decoy
79237,23.45,8,1500,56,decoy
79346,23.56,8,1500,56,decoy
79455,23.56,8,1500,56,decoy
79567,29,8,1500,56,decoy
79673,27.49,8,1500,56,decoy
79781,23.65,8,1500,56,decoy
79892,23.63,18,1500,56,decoy
80025,24.12,18,1500,56,decoy
80109,32.63,18,1500,56,decoy
80202,33.55,18,1500,56,decoy
80315,31.49,18,1500,57,decoy
80443,31.03,18,1500,57,decoy
80529,32.06,18,1500,57,decoy
80640,31.08,18,1500,57,decoy
80746,23.69,18,1500,57,decoy
80860,23.62,18,1500,57,decoy
80967,22.09,18,1005,57,decoy
81081,19.71,18,1005,57,decoy
81186,24.9,18,945,57,decoy
81298,21.44,18,945,57,decoy
81406,19.6,18,900,56,decoy
81520,19.51,18,810,56,decoy
81609,17.81,18,810,56,decoy
81738,18.84,18,1455,56,decoy
81824,20.76,18,1455,56,decoy
81921,23.13,20,1455,56,decoy
82026,23.24,20,1455,56,decoy
82160,23.78,20,1455,56,decoy
82245,23.78,20,1455,56,decoy
82354,23.36,20,1455,56,decoy
82463,23.32,20,1455,57,decoy
82572,23.23,20,1455,57,decoy
82679,27.44,20,1455,57,decoy
82792,23.39,20,1455,57,decoy
82902,23.28,6,1455,57,decoy
83011,23.31,6,1455,57,decoy
83119,23.3,6,1455,57,decoy
83228,27.45,6,1455,57,decoy
83338,27.83,6,1455,57,decoy
83447,23.34,6,1455,57,decoy
83563,19.59,6,780,56,decoy
83678,18.42,6,780,56,decoy
83783,23.46,6,1290,56,decoy
83901,30.69,6,1290,56,decoy
84051,29.44,24,1290,57,decoy
84125,28.23,24,1290,57,decoy
84240,29.38,24,1290,57,decoy
84334,30.42,24,1290,57,decoy
84436,30.83,24,1290,57,decoy
84538,30.91,24,1290,57,decoy
84639,30.9,24,1290,57,decoy
84721,30.55,24,1290,57,decoy
84831,27.44,24,1290,57,decoy
