t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
3045,4.49,0,360,48,idle
3155,4.54,0,360,48,idle
3265,4.53,0,360,48,idle
3373,4.42,0,360,48,idle
3503,5.18,0,300,48,idle
3608,4.56,0,300,48,idle
3707,4.58,0,300,48,idle
3833,4.49,0,300,48,idle
3928,4.37,0,300,48,idle
4049,4.49,0,300,48,idle
4143,4.24,0,300,48,idle
4254,4.34,0,300,48,idle
4366,4.3,0,300,48,idle
4475,4.6,0,300,48,idle
4586,4.24,0,300,48,idle
4718,4.55,0,300,48,idle
4797,4.53,0,300,48,idle
4924,4.53,0,300,48,idle
5003,4.41,0,300,48,idle
5115,4.55,0,300,48,idle
5225,4.49,0,300,48,idle
5334,4.24,0,300,48,idle
5437,4.7,0,300,48,idle
5545,4.07,0,300,48,idle
5657,4.46,0,300,48,idle
5767,4.38,0,300,48,idle
5875,4.39,0,300,48,idle
5984,4.27,0,300,48,idle
6095,4.39,0,300,48,idle
6208,4.28,0,300,48,idle
6315,4.44,0,300,48,idle
6429,4.32,0,300,48,idle
6534,4.08,0,300,48,idle
6644,4.14,0,300,48,idle
6755,4.2,0,300,48,idle
6864,4.45,0,300,48,idle
6972,4.24,0,300,48,idle
7082,4.3,0,300,48,idle
7192,4.33,0,300,48,idle
7301,4.23,0,300,48,idle
7411,4.35,0,300,48,idle
7520,4.28,0,300,48,idle
7630,4.28,0,300,48,idle
7739,4.22,0,300,48,idle
7848,4.23,0,300,48,idle
7957,4.1,0,300,48,idle
8068,4.32,0,300,48,idle
8179,4.3,0,300,48,idle
8291,4.33,0,300,48,idle
8385,4.3,0,300,48,idle
8495,4.66,0,300,48,idle
8609,4.28,0,300,48,idle
8718,4.4,0,300,48,idle
8829,4.26,0,300,48,idle
8938,4.16,0,300,48,idle
9044,4.36,0,300,48,idle
9155,4.15,0,300,48,idle
9267,4.24,0,300,48,idle
9377,4.39,0,300,48,idle
9488,4.47,0,300,48,idle
9595,4.32,0,300,48,idle
9707,4.4,0,300,48,idle
9816,4.37,0,300,48,idle
9925,4.34,0,300,48,idle
10037,4.28,0,300,48,idle
10144,4.25,0,300,48,idle
10255,4.23,0,300,48,idle
10365,4.33,0,300,48,idle
10475,4.62,0,300,48,idle
10588,4.34,0,300,48,idle
10711,4.59,0,300,48,idle
10807,4.32,0,300,48,idle
10913,4.23,0,300,48,idle
11024,4.31,0,300,48,idle
11137,4.27,0,300,48,idle
11249,4.19,0,300,48,idle
11355,4.3,0,300,48,idle
11466,4.31,0,300,48,idle
11574,4.26,0,300,48,idle
11687,4.54,0,300,48,idle
11796,4.32,0,300,48,idle
11907,4.45,0,300,48,idle
12016,4.25,0,300,48,idle
12126,4.36,0,300,48,idle
12237,4.25,0,300,48,idle
12345,4.13,0,300,48,idle
12456,4.58,0,300,48,idle
12567,4.11,0,300,48,idle
12676,4.52,0,300,48,idle
12787,4.24,0,300,48,idle
12897,4.42,0,300,48,idle
13007,4.28,0,300,48,idle
13116,4.33,0,300,48,idle
13226,4.27,0,300,48,idle
13335,4.41,0,300,48,idle
13446,4.37,0,300,48,idle
13554,4.14,0,300,48,idle
13666,4.33,0,300,48,idle
13775,4.21,0,300,48,idle
13888,4.42,0,300,48,idle
13995,4.4,0,300,48,idle
14106,4.44,0,300,48,idle
14216,4.19,0,300,48,idle
14328,4.36,0,300,48,idle
14439,4.26,0,300,48,idle
14549,4.66,0,300,48,idle
14662,4.32,0,300,48,idle
14766,4.09,0,300,48,idle
14876,4.36,0,300,48,idle
14987,4.24,0,300,48,idle
