t_ms,power_w,temp_c,clock_mhz,label
0,22.44,47,1455,cool
110,21.97,47,1455,cool
229,21.98,47,1455,cool
335,22.04,47,1455,cool
462,22.04,47,1455,cool
551,22.07,47,1455,cool
663,22.01,47,1455,cool
774,22.01,47,1455,cool
884,21.94,47,1455,cool
993,21.97,47,1455,cool
1107,21.89,47,1455,cool
1213,21.93,47,1455,cool
1324,21.99,47,1455,cool
1435,22.04,47,1455,cool
1545,22.02,47,1455,cool
1654,21.97,47,1455,cool
1764,22.01,47,1455,cool
1875,21.96,47,1455,cool
1985,22.06,47,1455,cool
2101,22.03,47,1455,cool
2206,22.07,47,1455,cool
2318,22.03,47,1455,cool
2429,21.94,47,1455,cool
2536,22.01,47,1455,cool
2651,22.04,47,1455,cool
2756,22.07,47,1455,cool
2899,22.1,47,1455,cool
2977,22.17,47,1455,cool
3089,22.13,47,1455,cool
3200,22.1,47,1455,cool
3308,22.05,47,1455,cool
3402,22.01,47,1455,cool
3513,22.11,47,1455,cool
3624,22.05,47,1455,cool
3734,21.98,47,1455,cool
3841,22.02,47,1455,cool
3954,21.96,47,1455,cool
4061,21.96,47,1455,cool
4172,22.01,47,1455,cool
4282,22.02,47,1455,cool
4393,18.44,47,420,cool
4502,7.34,47,360,cool
4612,8.15,47,360,cool
4722,4.2,47,360,cool
4833,4.1,46,360,cool
4944,4.22,46,360,cool
5053,4.04,46,360,cool
5163,4.02,46,360,cool
5272,4.06,46,360,cool
5382,4.2,46,360,cool
5493,4.3,46,360,cool
5603,4.43,46,360,cool
5712,4.09,46,360,cool
5822,4.17,46,360,cool
5934,4.04,46,360,cool
6045,4.2,46,360,cool
6153,4.64,46,300,cool
6265,4,46,300,cool
6374,3.89,46,300,cool
6488,4.09,46,300,cool
6594,4.31,46,300,cool
6707,4.04,46,300,cool
6816,4.1,46,300,cool
6926,4.05,46,300,cool
7038,4.12,46,300,cool
7147,4.29,46,300,cool
7255,3.94,46,300,cool
7366,4.05,46,300,cool
7475,4.01,46,300,cool
7589,4.15,46,300,cool
7697,4.09,46,300,cool
7806,4.09,46,300,cool
7932,4,46,300,loop1
8047,3.95,46,300,loop1
8159,3.88,46,300,loop1
8262,8.49,46,300,loop1
8354,10.07,46,300,loop1
8488,11.41,46,1455,loop1
8574,31.32,48,1455,loop1
8682,34.64,48,1680,loop1
8806,39.42,48,1680,loop1
8917,28.73,48,1680,loop1
9012,24.1,48,1680,loop1
9164,24.14,49,1680,loop1
9229,35.68,49,1680,loop1
9353,39.71,49,1680,loop1
9446,39.09,49,1680,loop1
9553,34.97,49,1680,loop1
9663,24.25,48,1680,loop1
9782,32.32,48,1680,loop1
9896,39.53,48,1680,loop1
